Category,Longitude,Latitude
5,-130.88232100222274,-77
5,-130.88232100222274,-77
5,-130.88232100222274,-77
5,-130.88232100222274,-77
5,-130.88232100222274,-77
5,-130.80919690337558,-76
5,-130.80919690337558,-76
5,-130.80919690337558,-76
5,-130.80919690337558,-76
5,-130.80919690337558,-76
5,-129.7506147480503,-83
5,-129.7506147480503,-83
5,-129.7506147480503,-83
5,-129.7506147480503,-83
5,-129.7506147480503,-83
5,-129.76970094561764,-82
5,-129.76970094561764,-82
5,-129.76970094561764,-82
5,-129.76970094561764,-82
5,-129.76970094561764,-82
5,-129.83440988184893,-81
5,-129.83440988184893,-81
5,-129.83440988184893,-81
5,-129.83440988184893,-81
5,-129.83440988184893,-81
5,-129.9776018800643,-80
5,-129.9776018800643,-80
5,-129.9776018800643,-80
5,-129.9776018800643,-80
5,-129.9776018800643,-80
5,-129.95611203700204,-79
5,-129.95611203700204,-79
5,-129.95611203700204,-79
5,-129.95611203700204,-79
5,-129.95611203700204,-79
5,-129.85803285697563,-78
5,-129.85803285697563,-78
5,-129.85803285697563,-78
5,-129.85803285697563,-78
5,-129.85803285697563,-78
5,-129.96053476715824,-77
5,-129.96053476715824,-77
5,-129.96053476715824,-77
5,-129.96053476715824,-77
5,-129.96053476715824,-77
5,-129.78693587824503,-76
5,-129.78693587824503,-76
5,-129.78693587824503,-76
5,-129.78693587824503,-76
5,-129.78693587824503,-76
5,-129.78436441900124,-75
5,-129.78436441900124,-75
5,-129.78436441900124,-75
5,-129.78436441900124,-75
5,-129.78436441900124,-75
5,-128.96521084522215,-84
5,-128.96521084522215,-84
5,-128.96521084522215,-84
5,-128.96521084522215,-84
5,-128.96521084522215,-84
5,-128.9486183377385,-83
5,-128.9486183377385,-83
5,-128.9486183377385,-83
5,-128.9486183377385,-83
5,-128.9486183377385,-83
5,-128.76328912699248,-82
5,-128.76328912699248,-82
5,-128.76328912699248,-82
5,-128.76328912699248,-82
5,-128.76328912699248,-82
5,-128.92787476211774,-81
5,-128.92787476211774,-81
5,-128.92787476211774,-81
5,-128.92787476211774,-81
5,-128.92787476211774,-81
6,-128.83549075362774,-80
6,-128.83549075362774,-80
6,-128.83549075362774,-80
6,-128.83549075362774,-80
6,-128.83549075362774,-80
6,-128.83549075362774,-80
6,-128.79536064813814,-79
6,-128.79536064813814,-79
6,-128.79536064813814,-79
6,-128.79536064813814,-79
6,-128.79536064813814,-79
6,-128.79536064813814,-79
6,-128.99145814424,-78
6,-128.99145814424,-78
6,-128.99145814424,-78
6,-128.99145814424,-78
6,-128.99145814424,-78
6,-128.99145814424,-78
6,-128.91543628975668,-77
6,-128.91543628975668,-77
6,-128.91543628975668,-77
6,-128.91543628975668,-77
6,-128.91543628975668,-77
6,-128.91543628975668,-77
5,-128.7792381572866,-76
5,-128.7792381572866,-76
5,-128.7792381572866,-76
5,-128.7792381572866,-76
5,-128.7792381572866,-76
5,-128.76270629792575,-75
5,-128.76270629792575,-75
5,-128.76270629792575,-75
5,-128.76270629792575,-75
5,-128.76270629792575,-75
5,-128.81373642044562,-74
5,-128.81373642044562,-74
5,-128.81373642044562,-74
